user_id_x,follower_id,name,author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares,user_id_y
44579763,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
11696732,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
49492585,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
18142375,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
226542784,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
277570942,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
192318065,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
174702420,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
237742285,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
8170292,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
13939772,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
19526770,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
115897650,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
388818684,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
328957563,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
19149421,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
256248787,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
14133706,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
14154272,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
7589572,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
14104027,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
116798290,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
15944663,316994994,,rihanna,#rihannaxstance holiday collection for the naughty list. https://t.co/ZyOTZaGwnb,,21/11/2015 16:57,6.68111e+17,en,,,6580,2873,316994994
